 , kkjt**** , 어유 저사진 열받는다 사진내려라~~~~아직 10개월을 넘게 보아야 하나? 고통스럽네 , 109 , 5 , Sun May 16 00:05:08 KST 2021 
 , sael**** , 성결대 야간 나온게 서울대출신 컬럼비아대 경제학박사한테 능력따지는건 좀 아니지 않나? 청와대 무수리 출신인건 알지만 너무 막나가는듯 , 86 , 2 , Sun May 16 00:05:08 KST 2021 
 , makj**** , 삼괴종고-성결대학교??이런것도학교냐???ㅋㅋㅋㅋ 콜롬비아대학교경제학박사윤희숙한테 자격지심생길만하네....ㅋㅋㅋㅋㅋㅋㅋㅋ , 76 , 0 , Sun May 16 00:05:08 KST 2021 
 , gjqn**** , 윤희숙과 문정복 수준 차이 너무 나지 않나? ㅉㅉ 나는 국민으로서.. 윤희숙처럼 예리한 판단력 상식적인 사람이 국회의원이라는 것에 만족하지만 문정복 같은 애들이 이나라 국회의원이라는 것에 비참함을 느낀다. ㅉㅉ , 73 , 2 , Sun May 16 00:05:08 KST 2021 
 , smwo**** , 문정복과 윤희숙을 보면 좌파와 우파의 두뇌 차이를 보는 것 같네..역시 대개문 탈출은 지능 순이야 , 58 , 1 , Sun May 16 00:05:08 KST 2021 
 , arsv**** , 고졸 돌대가리가 열등감에 복받쳐 개소리를 짖어대는구만. 임명직과 선출직의 차이조자 모르고 나내는 꼬라지하고는.... ㅉㅉ , 57 , 0 , Sun May 16 00:05:08 KST 2021 
 , kote**** , 나는 김두한인줄 알았는데 검색해보니 문정복의원이 여자라고 하네요 와 쩐다 스팩도 고상하고 생긴 모양처럼 성질도 드럽네요 저런 지지리를 국회의원으로 뽑은 동네는 어디인가. , 34 , 1 , Sun May 16 00:05:08 KST 2021 
 , smwo**** , 영부인 감이네..김정숙보다 문재인 한테 더 잘 어울리는데 , 32 , 0 , Sun May 16 00:05:08 KST 2021 
 , hak2**** , 저런 무식한 모지리들이 국회의원을 하니 우리나라의 격이 떨이짐. 아무나 공천을 주니 저런 모지리들도 국회의원을 하는 세상이 되어버림. 지 이름 영어로 한자로 쓸지나 아는지 모름! , 23 , 0 , Sun May 16 00:05:08 KST 2021 
 , hjy0**** , 저런여자 줄잘서서 입문해서 국회의원 공천해주는 당이 민주당이다 능력은 차후고 지들편 돌격대 내지말잘듣고 손잘들면 되지요!! , 21 , 0 , Sun May 16 00:05:08 KST 2021 
 , chon**** , 능력으로 따지면 윤희숙의원은 문정복 너같은 쓰레기가 오를수있는 나무가 아니지. , 19 , 1 , Sun May 16 00:05:08 KST 2021 
 , cora**** , 상중에 고함과 삿대질하는 백원우한테 무교양을 배우고 문죄인한테서 내로남불 막말 정치를 배웠나봐. , 17 , 0 , Sun May 16 00:05:08 KST 2021 
 , jski**** , 국회의원을 차니 완장을 차는것 처럼 행동하는구나.......완장도 차고 있다보니 이제 완전히 권력에 맛이 들어 딱 더듬어당원처럼 생각하고 행동 하는구나.......... , 17 , 0 , Sun May 16 00:05:08 KST 2021 
 , yj32**** , 영락없이 백정년같이 생긴 공산암컷이 주둥아리 놀리는 것도 역시 쌍것답게 실망을 시키지 않는구나. , 16 , 1 , Sun May 16 00:05:08 KST 2021 
 , beng**** , 이재명씨. 윤희숙의원의 언어 논리 딸린다고 국민의 힘은 공부좀 시키라더니 문정복 의원은 좀 밀착 과외로도 가능성이 안보일듯 싶습니다 , 15 , 0 , Sun May 16 00:05:08 KST 2021 
 , sung**** , 사진보니 하나는 쌂은 소대가리 ! 하나는 쌂은 돼지 대가리 같구 닮았네 ! , 15 , 0 , Sun May 16 00:05:08 KST 2021 
 , eeli**** , 숭어가 질식할까봐 찾겠다는, 생명존중이 바탕에 깔렸다. 부럽다 저런 사고 우리나라도 변했으면 좋겠다 , 937 , 56 , Sun May 16 00:05:51 KST 2021 
 , muda**** , 자아식이 금태둘렀네~ ㅋㅋ , 262 , 8 , Sun May 16 00:05:51 KST 2021 
 , newt**** , 숭어가 금반지를 샀을수도 있는데 속단하지마라. , 129 , 2 , Sun May 16 00:05:51 KST 2021 
 , crea**** , 별의 별 일이 다 있네요~~ 신기하기도~~ , 63 , 7 , Sun May 16 00:05:51 KST 2021 
 , gold**** , 반지의 제왕 아니 반지의 숭어네 ㅋㅋ , 65 , 15 , Sun May 16 00:05:51 KST 2021 
 , 7gur**** , 빨랑 찾아서 숭어랑 결혼해 서로다 합의본거 같은데 , 43 , 0 , Sun May 16 00:05:51 KST 2021 
 , yytt**** , 중량 수영하고 있었네ㅠㅋㅋㅋ 헬창숭어 , 27 , 0 , Sun May 16 00:05:51 KST 2021 
 , rkad**** , 희안하다 ㅎㅎㅎㅎ 반지 찾을 운명이었네요ㅡ , 32 , 7 , Sun May 16 00:05:51 KST 2021 
 , sh02**** , 송어가 질식할까봐 빨리 찾겠다는 마음씨가 정말 본받을만하네요. 빨리 반지를 낀 송어를 찾아 송어도 구하고 반지도 구하셨음 좋겠습니다. , 14 , 1 , Sun May 16 00:05:51 KST 2021 
 , ctj1**** , 팔찌도 아니고 숭어몸통에 ? 숭어가 미꾸라지냐? 반지가 몸통에 끼인다고? 말이야 방구야 , 9 , 0 , Sun May 16 00:05:51 KST 2021 
 , yes5**** , 유실물은 6개월 지나면 소유권을 잃네요. 숭어씨는 몇달만 도망다니면 소유권을 취득하네요 , 9 , 1 , Sun May 16 00:05:51 KST 2021 
 , rlaw**** , 귀여워 ㅠㅠ 반지 얼렁 빼주세요~~~ 쑥쑥커라 쑥쑥 , 4 , 0 , Sun May 16 00:05:51 KST 2021 
 , smsb**** , 큰물고기한테 먹히기전에 빨리 잡아야 할듯 , 3 , 0 , Sun May 16 00:05:51 KST 2021 
 , pmy8**** , 반지가 큰건가 숭어가 작은건가 내가 아는 숭어는 꽤 크던데 주인이 못찾아도 반지낀 숭어 보시면 꼭 좀 빼주세요 누구든 , 3 , 0 , Sun May 16 00:05:52 KST 2021 
 , yak2**** , 숭어랑 결혼혀라 , 3 , 0 , Sun May 16 00:05:52 KST 2021 
 , secr**** , 외국인들은 마음이 선한 사람도 많다.. , 3 , 1 , Sun May 16 00:05:52 KST 2021 
 , kmh8**** , 숭어 신랑이 줬음 확실함 , 2 , 0 , Sun May 16 00:05:52 KST 2021 
 , hogo**** , 물고기 가지고 장난하지 마라! 물고기는 얼마나 괴롭겠니? , 2 , 0 , Sun May 16 00:05:52 KST 2021 
 , oliv**** , ㅋㅋㅋ 고놈 로또 맞았구나? , 2 , 0 , Sun May 16 00:05:52 KST 2021 
 , mdsa**** , 주작..... 이걸 믿냐? 주작이지. , 2 , 0 , Sun May 16 00:05:52 KST 2021 
 , getb**** , 용감한 시민상 수여하고 이번사건에서 봤듯이 안전장치 하나없이 택시운행하는 운전자들은 불안하지않게 법령개정과 함께 안전운행 할수있게 보완해 안전운전 될수있게 해야한다! 에휴! 삼가고인의 명복을 빌고 칼들고 설친 살인자는 엄벌해라! 사형이 된다면 더 좋고! , 591 , 5 , Sun May 16 00:06:24 KST 2021 
 , jk14**** , 택시운전자 보호격벽 무조건 설치해라. , 351 , 7 , Sun May 16 00:06:24 KST 2021 
 , robo**** , 횡설수설하면 조현병아닌가 의심스러운데요 심신미약이라고 절대로 처벌이 약하거나 형량이 약해서는 안됩니다 그리고 택시에 대해서도 강력한 보호벽설치가 절실히 필요합니다 , 170 , 4 , Sun May 16 00:06:24 KST 2021 
 , remt**** , 정신없는 상황에 당황하거나 자리를 피하지 않고 검거를 도운 시민 분들께 박수를 보냅니다. 소중한 생명을 생각지도 못한 순간에 잃었다는 것이 너무나도 마음 아픕니다. 너무 힘든 시간을 보내고 있을 유가족분들께 작은 위로를 보냅니다. 삼가 고인의 명복을 빕니다. , 156 , 1 , Sun May 16 00:06:24 KST 2021 
 , s657**** , 사람죽이면 그냥 무조건 사형하자 쫌!!!! , 69 , 0 , Sun May 16 00:06:24 KST 2021 
 , aion**** , 이용구는? , 44 , 1 , Sun May 16 00:06:24 KST 2021 
 , xpen**** , 법이 약해서 이런범죄 계속 나온다 , 17 , 1 , Sun May 16 00:06:24 KST 2021 
 , gidg**** , 작년 6월이 발의됐는데 아직까지 계류중인 이유는 뭔가 , 15 , 0 , Sun May 16 00:06:25 KST 2021 
 , nada**** , 조현병이면 형량을 높이거나 사회로부터 영구격리시켜야하는것아닌가. , 14 , 0 , Sun May 16 00:06:25 KST 2021 
 , joon**** , 이 나라의 20대는 너무똑똑한 20대와 살인마같은 20대로 나뉘는듯. , 8 , 0 , Sun May 16 00:06:25 KST 2021 
 , kans**** , 택시기사 버스기사 폭행하는것들 무기징역 하자기사뿐만 아니라 다른 사람들의 목숨까지도 위협하는 개들 , 7 , 0 , Sun May 16 00:06:25 KST 2021 
 , jihe**** , 진짜 또라이 정신병자 너무많다ㅜㅜ , 7 , 0 , Sun May 16 00:06:25 KST 2021 
 , love**** , 횡설수설 할정도로 정신병이 있는데 감형하지 말고 정신병원 치료 하지 않은죄와 가족들도 방임죄를 물읍시다 저게 사람인가 좀비지 , 6 , 0 , Sun May 16 00:06:25 KST 2021 
 , hwan**** , 언제까지 이나라는 인권 내세울건지~죽은사람은 넘 억울할듯~사형제도좀 부활시키세요 법이 약하니 살인사건들이 넘 많이나오네요 , 6 , 0 , Sun May 16 00:06:25 KST 2021 
 , allo**** , 미친건가요... 택시 기사님 운전방치벽 꼭 설치 해주세요... 너무 위협적인 위치에요. 꼭 요 , 6 , 0 , Sun May 16 00:06:25 KST 2021 
 , love**** , 요새 거의 20대 사건 많은데 진짜 확실히 느끼는거지만 진짜 부모들 오냐오냐키운 결과다 이게 전부다.. , 6 , 0 , Sun May 16 00:06:25 KST 2021 
 , cgoz**** , 마계 인천은 찐이지 , 6 , 0 , Sun May 16 00:06:25 KST 2021 
 , zero**** , 운수업하시는 분들 제대로 보호 좀 받으셨으면 좋겠네 , 5 , 0 , Sun May 16 00:06:25 KST 2021 
 , chic**** , 흉기를 평소에 들고 다니는 인간은 나오면 또 한다. 영원히격리시켜라 , 4 , 0 , Sun May 16 00:06:25 KST 2021 
 , joeu**** , 심신미약이라고 처벌이 약하면 안됩니다사형제도가 있어야함..진심...누군가의 아버지고 가족일텐데 .,. 삼가고인의 명복을 빕니다.. , 4 , 0 , Sun May 16 00:06:25 KST 2021 
 , getb**** , 용감한 시민상 수여하고 이번사건에서 봤듯이 안전장치 하나없이 택시운행하는 운전자들은 불안하지않게 법령개정과 함께 안전운행 할수있게 보완해 안전운전 될수있게 해야한다! 에휴! 삼가고인의 명복을 빌고 칼들고 설친 살인자는 엄벌해라! 사형이 된다면 더 좋고! , 594 , 5 , Sun May 16 00:07:31 KST 2021 
 , jk14**** , 택시운전자 보호격벽 무조건 설치해라. , 352 , 7 , Sun May 16 00:07:31 KST 2021 
 , robo**** , 횡설수설하면 조현병아닌가 의심스러운데요 심신미약이라고 절대로 처벌이 약하거나 형량이 약해서는 안됩니다 그리고 택시에 대해서도 강력한 보호벽설치가 절실히 필요합니다 , 170 , 4 , Sun May 16 00:07:31 KST 2021 
 , remt**** , 정신없는 상황에 당황하거나 자리를 피하지 않고 검거를 도운 시민 분들께 박수를 보냅니다. 소중한 생명을 생각지도 못한 순간에 잃었다는 것이 너무나도 마음 아픕니다. 너무 힘든 시간을 보내고 있을 유가족분들께 작은 위로를 보냅니다. 삼가 고인의 명복을 빕니다. , 157 , 1 , Sun May 16 00:07:31 KST 2021 
 , s657**** , 사람죽이면 그냥 무조건 사형하자 쫌!!!! , 69 , 0 , Sun May 16 00:07:31 KST 2021 
 , aion**** , 이용구는? , 44 , 1 , Sun May 16 00:07:31 KST 2021 
 , xpen**** , 법이 약해서 이런범죄 계속 나온다 , 17 , 1 , Sun May 16 00:07:31 KST 2021 
 , gidg**** , 작년 6월이 발의됐는데 아직까지 계류중인 이유는 뭔가 , 15 , 0 , Sun May 16 00:07:31 KST 2021 
 , nada**** , 조현병이면 형량을 높이거나 사회로부터 영구격리시켜야하는것아닌가. , 14 , 0 , Sun May 16 00:07:31 KST 2021 
 , joon**** , 이 나라의 20대는 너무똑똑한 20대와 살인마같은 20대로 나뉘는듯. , 8 , 0 , Sun May 16 00:07:31 KST 2021 
 , kans**** , 택시기사 버스기사 폭행하는것들 무기징역 하자기사뿐만 아니라 다른 사람들의 목숨까지도 위협하는 개들 , 7 , 0 , Sun May 16 00:07:31 KST 2021 
 , jihe**** , 진짜 또라이 정신병자 너무많다ㅜㅜ , 7 , 0 , Sun May 16 00:07:32 KST 2021 
 , love**** , 횡설수설 할정도로 정신병이 있는데 감형하지 말고 정신병원 치료 하지 않은죄와 가족들도 방임죄를 물읍시다 저게 사람인가 좀비지 , 6 , 0 , Sun May 16 00:07:32 KST 2021 
 , hwan**** , 언제까지 이나라는 인권 내세울건지~죽은사람은 넘 억울할듯~사형제도좀 부활시키세요 법이 약하니 살인사건들이 넘 많이나오네요 , 6 , 0 , Sun May 16 00:07:32 KST 2021 
 , allo**** , 미친건가요... 택시 기사님 운전방치벽 꼭 설치 해주세요... 너무 위협적인 위치에요. 꼭 요 , 6 , 0 , Sun May 16 00:07:32 KST 2021 
 , love**** , 요새 거의 20대 사건 많은데 진짜 확실히 느끼는거지만 진짜 부모들 오냐오냐키운 결과다 이게 전부다.. , 6 , 0 , Sun May 16 00:07:32 KST 2021 
 , cgoz**** , 마계 인천은 찐이지 , 6 , 0 , Sun May 16 00:07:32 KST 2021 
 , zero**** , 운수업하시는 분들 제대로 보호 좀 받으셨으면 좋겠네 , 5 , 0 , Sun May 16 00:07:32 KST 2021 
 , chic**** , 흉기를 평소에 들고 다니는 인간은 나오면 또 한다. 영원히격리시켜라 , 4 , 0 , Sun May 16 00:07:32 KST 2021 
 , joeu**** , 심신미약이라고 처벌이 약하면 안됩니다사형제도가 있어야함..진심...누군가의 아버지고 가족일텐데 .,. 삼가고인의 명복을 빕니다.. , 4 , 0 , Sun May 16 00:07:32 KST 2021 
 , heri**** , 네 화이자 주세요 , 263 , 25 , Sun May 16 00:08:06 KST 2021 
 , soso**** , AZ로 인한 사망은..대부분 기저질환에 의한 사망 통계에 넣은건가요? 의도가 보이는 기사네요. , 150 , 17 , Sun May 16 00:08:06 KST 2021 
 , raws**** , AZ는 맞고나서 죽어도 AZ때문이 아니라고 말하면서 진짜 국민이 개돼지로 보이나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ , 76 , 7 , Sun May 16 00:08:06 KST 2021 
 , wade**** , 그냥 안맞고싶네요... , 75 , 7 , Sun May 16 00:08:06 KST 2021 
 , onei**** , 정상적인 백신이 나올려면 수년이 걸리는데...이리 급하게 나온 백신들이 얼마나 효력이 있을런지...전세계 사람들을 상대로 임상 실험 하는것 같은 이 느낌적인 느낌은 뭘까나...돌아가신 분들만 억울 하시지... , 53 , 9 , Sun May 16 00:08:06 KST 2021 
 , sung**** , 답 나왔네. 위험한 화이자는 전부 우파 접종하고, 전라도 대깨문들은 전부 안전한 AZ 접종하면 되겠네. 안전한 AZ 양보해줬으니 술이나 사. , 20 , 3 , Sun May 16 00:08:06 KST 2021 
 , hang**** , 솔직히 머가리 빵꾸난 저학력 저!!능!!아 아닌이상 화이자가 더 좋은건 누구나 다 아는건데 어떻게든 선동하려고하쥬 ㅋㅋ 우리나라한테 화이자물량이 많았다면 이런기사가 나왔을까?ㅋㅋㅋㅋ 그래그래 화이자 AZ보다 사망신고 많은거알겠으니까 나 화이자달라고 ㅋㅋㅋㅋ , 22 , 8 , Sun May 16 00:08:06 KST 2021 
 , hans**** , 중국수준이네 통계장난 , 13 , 2 , Sun May 16 00:08:06 KST 2021 
 , sang**** , AZ 재고량이 아주 많죠. 정부는 남아도는 AZ 재고 처리해야 하고...부작용이 이렇게 까지 심하면 덴마크 처럼 접종 중단 시켜야 하는데 말이죠. 다른 나라들과 비교해서 초기대응은 잘했으나 접종속도가 매우 뒤쳐지니 원망듣기 싫어서 강제 접종하는거나 마찬가지...정치방역이 맞습니다. , 11 , 0 , Sun May 16 00:08:06 KST 2021 
 , cook**** , 결국 화이자는 못구했다는 거네.. 뭘 구차하게 길게도 싸질러 놓으셨네요!! 구래서 문죄인은 뭐 맞았어요?? , 11 , 0 , Sun May 16 00:08:06 KST 2021 
 , boon**** , 미국이 제정신이 아닌가봐요 이렇게 좋은 아스트라백신을 개무시하고 화이자 모더나만 접종하고 으이구 , 8 , 0 , Sun May 16 00:08:06 KST 2021 
 , wbwb**** , 궁금한게..az는 기저질환사망, 화이자는 백신부작용사망?국민들을 바보로 아시나. , 6 , 0 , Sun May 16 00:08:06 KST 2021 
 , park**** , 저렇게 위험한 백신 접종후에 화이자는 예방율 95% AZ는 60~70%.. 도대체 AZ를 맞는 의미가 없음!!!! 비공달 대깨문들은 제발 좀 자발적으로 AZ 맞아라~ 27일부터 AZ거부자 많을테니... , 8 , 3 , Sun May 16 00:08:07 KST 2021 
 , mavi**** , 문재앙의 정치 방역이 만들어낸 안타까운 참극이다... , 5 , 1 , Sun May 16 00:08:07 KST 2021 
 , namw**** , 감염병으로 10명 죽었으면 난리 났을 거다. 그런데 백식 맞고 죽은 건 아무 일도 아니라고??? 미친 제약사 미친 정부. 백신면책은 전염병보다 무섭다. 돈버는 재미에 사람 죽는 건 쳐다도 안본다. , 4 , 0 , Sun May 16 00:08:07 KST 2021 
 , lls4**** , 바람잡네 화이자는 안전하다고 하는데 우리나라는 구입이 안되니 엉터리로 홍보하나 , 4 , 0 , Sun May 16 00:08:07 KST 2021 
 , hyes**** , 연령대 다른 건 고려 안함..? 젊고 건강한 사람들 아스트라 맞고 75세 이상이 화이자 맞은거.. , 4 , 0 , Sun May 16 00:08:07 KST 2021 
 , ryu2**** , 아제백신으로 사망하면 기냥 기저질환탓 통계반영 절대안됨 !! 화이자맞고 사망하면 얼씨구나 통계에 쏙!!! 이정권 수준참 눈가리고 아웅도 작작해라!!! , 4 , 1 , Sun May 16 00:08:07 KST 2021 
 , rlaw**** , 매스컴 매체들이 국민들에게 정보로 ()목적 달성용으로 전락하지 마시길 바랍니다 , 4 , 1 , Sun May 16 00:08:07 KST 2021 
 , jss2**** , 그렇지 AZ맞게하려면 화이자 까야겠지? 난화이자 맞을래 , 3 , 0 , Sun May 16 00:08:07 KST 2021 
 , supb**** , 서학개미 똑똑하네. 성공한 탈출! 이 되길 .. , 802 , 12 , Sun May 16 00:13:42 KST 2021 
 , dhse**** , 차팔아서 돈버는게 아니라 주가조작해서 돈버는 인간 , 566 , 11 , Sun May 16 00:13:42 KST 2021 
 , wann**** , 똥을 싸도 환장하는 꼬라지를 보며 얼마나 세상 사람이 하찮아보이고 세상이 우습게 보일까.이 인간은 돈 버는것보다 자기 몇마디에 우왕좌왕대는 인간들을 보며 더 큰 쾌락을 느끼는것 같다. 마치 신이된 기분이겠지. 하찮은 미물들 보면서 깔깔대며 말이지. , 275 , 13 , Sun May 16 00:13:42 KST 2021 
 , dolc**** , 테슬라는 이성을 잃었고 끝나간다. 미친 회장 , 184 , 19 , Sun May 16 00:13:42 KST 2021 
 , minj**** , 테슬라 주가 솔직히 거품아닌가요?시총 670조 1분기 670억 영익 그것도 코인으로 ..지금은 주가떡락했으니 그래도 시총이..ㄷㄷ , 161 , 15 , Sun May 16 00:13:42 KST 2021 
 , sun9**** , 주식도 코인도 상류층들이 하류층 잡아서 가지고 노는거지 , 33 , 0 , Sun May 16 00:13:42 KST 2021 
 , oasi**** , 머스크는 아무리봐도 정상이 아닌거같다 , 25 , 1 , Sun May 16 00:13:43 KST 2021 
 , jhmw**** , 테슬라 사퇴해라 , 23 , 3 , Sun May 16 00:13:43 KST 2021 
 , krea**** , 머스크가 전세계 코인 투자자들을 가지고 놀았으니, 이제는 전세계 코인 투자자들이 테슬라를 가지고 놀때가 온듯. 테슬라의 끝없는 추락을 지지한다. , 17 , 0 , Sun May 16 00:13:43 KST 2021 
 , ung6**** , 머스크는 지구상 최고의 사기꾼 이다... , 16 , 1 , Sun May 16 00:13:43 KST 2021 
 , macd**** , 잘하고 있는 것 처럼 보이더니 요즘 계속 문제 될 말을 눈도 깜짝 안하고 꺼내네... 그러다 시세조작꾼 취급 받겠다. , 13 , 2 , Sun May 16 00:13:43 KST 2021 
 , jhmw**** , 도지 이오스 한테 밀리니 어만 비트잡더니 도지 1위하니 머스크 조용하네 2등으로 밀림 또 뭐라 쳐 시불할지일부러 급락시키고 투자했다 상승하면 빼두고또 시불 딱 봐도 작업이구만 , 12 , 1 , Sun May 16 00:13:43 KST 2021 
 , kwon**** , 주식파는건 의미 없어요테슬라 불매운동을 해야지테슬라 타면 안됨 , 13 , 3 , Sun May 16 00:13:43 KST 2021 
 , rapa**** , 쟨 정신이 온전한 얜 아닌거 같다 , 10 , 0 , Sun May 16 00:13:43 KST 2021 
 , with**** , 완성차 업체들 전기차 내놓는거 봐라ㅋㅋ 당장 현기차에서 내놓는거만봐도ㅋㅋ 과연 테슬라가 애플만큼 왕조 유지가 될까?ㅋㅋ 완성차업체들도 눈에 불을 켜고 하는데?ㅋㅋ , 8 , 0 , Sun May 16 00:13:43 KST 2021 
 , phot**** , 테슬라 차도 거품이지 ㅋㅋ 지금이야 전기차 시장이 지혼자 미개척지로 최고인것처럼 착시현상으로 독보적으로 보이지 완성차에서 전기차 시장 들어가봐라 테슬라 살아남나 봐라 ㅋㅋㅋ , 11 , 4 , Sun May 16 00:13:43 KST 2021 
 , kkki**** , 도지코인 내가보기엔 승승장구.. , 10 , 3 , Sun May 16 00:13:43 KST 2021 
 , 5829**** , 드럼프 다음 으로 또라이가 여기 있네 그려.... , 7 , 0 , Sun May 16 00:13:43 KST 2021 
 , jisu**** , 테슬라 타는데 쓰는 전기는 어디에서 나온다? , 6 , 0 , Sun May 16 00:13:44 KST 2021 
 , sift**** , 테슬라 주가가 드디어 오르겟구만 줍줍하러가야겠다 , 6 , 1 , Sun May 16 00:13:44 KST 2021 
 , kma1**** , 신발군 외삼촌이 경찰서장이라는 소문이 있는데, 사실인지는 모르겠음. 그러나 수많은 국민이 공분하며 지켜보고 있는 이 사건을 서장 수준에서 덮을 수 있을 리 없음. 경찰 태도도 너무 이상하고, 경찰 초동수사 미흡 조사한다던 검찰도 조용하고, 언론도 교묘하게 신발군에게 유리한 기사 쏟아내고, 40만 넘은 국민청원도 비공개로 바뀐 채 묵묵부답. 실질적인 배후는 권력 최상부에 있는 듯. 신발군 가족과 친인척 아닐까. 친인척 중에 살인범이 있으면 정치적 생명이 끝나는 거물급 실세. , 644 , 38 , Sun May 16 00:24:18 KST 2021 
 , aste**** , 경찰도 나라도 해결안해주면 국민이 나서야지 별수있어? 이시기에 집회한다고 제정신이냐고 하는 인간들 봐라. 개인 위생 및 방역 철저히 준수하고 4인 거리두기 지키면서 하면 뭐가 문제가 됨? 정인이 양모 재판 때 떼거지로 몰려온 사람들은? 예능 및 유튜브 한다고 수십명 떼거지로 몰려서 다니는건? 너네 입맛에 안맞는다고 선택적차별하지마. 코로나만 아니였으면 한강 벌써 촛불로 가득 찼을 걸? 세월호비교해서 선동하니 뭐니하는 것들도 여당야당 개무시중인데 어떻게 선동하냐? 뇌가 있으면 생각이란걸 해 이것들아 ㅉㅉ , 378 , 20 , Sun May 16 00:24:18 KST 2021 
 , miyu**** , 상식적이지 않은곳 투성이네 정말.... 국회, 검찰, 경찰, 청와대, 법원, LH를 비롯한 수많은 정부 기관들.... 왜 적극적으로 수사 않아는데 망할 경찰들아~ 사인 나올때 까지 기다린다더니 사인 나왔는데 왜 수사 안하냐? 변사면 무조건 단순 실족사야????? 짜증나 , 256 , 17 , Sun May 16 00:24:18 KST 2021 
 , kim0**** , 보면 볼수록... 맘 아파요~~ 엄마로써.. 매일 오늘은 어떤 기사에 길을 찾았나 싶어서요 , 206 , 2 , Sun May 16 00:24:18 KST 2021 
 , suji**** , 와.. 결국 21세기에도 비리로 인해 미스테리 사건으로 남을 건가.. 진짜 무서운 나라가 한국이구나... , 169 , 6 , Sun May 16 00:24:18 KST 2021 
 , soog**** , 꼭 가야겠습니다 !!! 동석자A 이준서 큰아버지 이용구 법무부 차관(택시기사 폭행사건 당사자) 외삼촌 최종혁 수사과장 (이용구 택시기사 폭행사건 무마지시 등등 )외숙모 현직판사 외삼촌 서초경찰서 근무중 엄마 최순영 변호사 아빠 이용진 항문외과 원장 , 125 , 1 , Sun May 16 00:24:18 KST 2021 
 , heoc**** , 얼마나 사람들이 분통이 터지면 1인 시위한다고 자발적으로 모여들까 경찰이 제대로 수사만했어도 벌써 결론나고 이런일도 없었을텐데 모든 정황과 증거가 있어도 시간끌기하는 경찰.. 국민들이 얼마나 이 사건에 아파하는지 좀 알고 수사 좀 해라 싫으면 검찰로 당장 송치해라 , 89 , 1 , Sun May 16 00:24:18 KST 2021 
 , twit**** , 정민이가 집에 안간줄 어케 알고 부모델꼬 한강 옴?이것만봐도 용의자 전환 충분히 가능한거 아님? , 84 , 0 , Sun May 16 00:24:18 KST 2021 
 , pro3**** , 전 서초경찰서이자 현 서울경찰청 수사과장인 최종혁이가 A군 외삼촌이란 말이 있어 수사가 지지부진한 거라는 말이 있는데요. 경찰 당국에서는 최종혁이가 외삼촌인지 아닌지를 확실히 밝혀 국민적 의혹을 해소시켜야 한다고 생각합니다. , 64 , 0 , Sun May 16 00:24:18 KST 2021 
 , tg22**** , 한국경찰이 못 밝히면 국민성금해서 미국에다가 의뢰합시다! , 61 , 1 , Sun May 16 00:24:18 KST 2021 
 , dudu**** , ㅈㅅ야 왜 이사갔어 니가 범인인게 더 확실해지잖아 , 61 , 2 , Sun May 16 00:24:18 KST 2021 
 , godz**** , 둘이 있다가 하나는 죽고 하나는 살았는데...진술도 이상허고 행태도 이상하고...야 솔직히 다른 사람 같았으면 벌써 경찰서에서 설렁탕 먹고있을텐데..참 웃기지도 않아 ㅎㅎㅎㅎ 대한민국 만세다 ㅎㅎ , 55 , 2 , Sun May 16 00:24:18 KST 2021 
 , 45rl**** , 사망 현장에 마지막까지(강변) 함께 있었던 사람이 있음에도 불구하고 '강가였다' 라는 이유 하나로 실족사로 규정짓는건 아닌듯합니다. 만약 한 방에 두 사람이 있었는데 한 명이 죽었다면 다른 한 사람이 당연히 용의자가 되야 하는것 아닌가요? 돗자리 위에 나란히 함께 있었고 물가에서 세걸음 남짓하는 곳까지 그 사람이 줄곧 함께 있었습니다. 단순히 기억이 나지 않는다는 진술로 실족사로 덮으면 안 될 것 같습니다. 기억을 못하기에 더 큰 일이 있었을 수도 있다는 것을 짐작해야하지 않을까요? , 52 , 2 , Sun May 16 00:24:18 KST 2021 
 , lah0**** , 손정민군의 사건은 미제가 되어서는 안되는 조건입니다.초기대응의 문제, 많은 의혹들, 그리고 문제를 제기할수있어 압수수색을 할수잇음에도 불구하고 하지않은점. 실족사로 빠르게 마무리지을려고하는점 등 이것은 국민의 안전과 신뢰를 깨버리는 경찰의 행동이고 , 나라망신입니다.지방도아닌 서울입니다. 나라의 수도입니다.중심에서 이같은 일이 미제가 된다면 안전을 보장할수있을까요? 인정해야할 부분과 지금이라도 더 국민에게 신뢰를 주엇으면 좋겟습니다. , 50 , 4 , Sun May 16 00:24:18 KST 2021 
 , jey1**** , 꼭 진실이 밝혀져서 한가정에 나아가 자식을둔부모들,국민들마음에 한을 남기지맙시다. , 44 , 0 , Sun May 16 00:24:18 KST 2021 
 , lms8**** , 이건 손정민사건만에 문제가 아닙니다!! 예전이나 지금이나 앞으로 미래를보면 지금처럼 경찰 초기수사 부실로 억울한일이 나일수도 있다는걸 생각하셔야합니다!!!경찰과 신발친구와가족은 떳떳하게 나와서 진실을 밝혀야합니다 , 41 , 1 , Sun May 16 00:24:19 KST 2021 
